Longitude,Latitude
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
